ν, Гц	2Авых, В	2Aвх, mВ
20	0.536	100
30	0.752
40	0.905
50	1
60	1.07
70	1.14
80	1.19
90	1.25
100	1.26
200	1.37
300	1.39
400	1.44
500	1.42
600	1.44
700	1.42
800	1.46
900	1.44
1000	1.44
2000	1.45
3000	1.45
4000	1.46
5000	1.47
6000	1.48
7000	1.48
8000	1.44
9000	1.44
10000	1.44
20000	1.48
30000	1.46
40000	1.42
50000	1.42
54000	1.40
55000	1.38
60000	1.38
65000	1.4
70000	1.38
80000	1.34
90000	1.34
100000	1.34
110000	1.3
120000	1.26
130000	1.26
140000	1.24
150000	1.22
160000	1.20
170000	1.18
180000	1.1
190000	1.2
200000	1.16
